,gdp_total,imports_goods_services,household_cons,gov_consumption,gpd_invest_business_households,exports_goods_services,BeloningSeizoengecorrigeerd_2,Residential_NLD_Housing_Prices
1/1/1970,,,,,,,,7.5196
4/1/1970,,,,,,,,7.8844
7/1/1970,,,,,,,,8.1048
10/1/1970,,,,,,,,8.2454
1/1/1971,,,,,,,,8.4848
4/1/1971,,,,,,,,8.7925
7/1/1971,,,,,,,,8.8723
10/1/1971,,,,,,,,9.1003
1/1/1972,,,,,,,,9.4537
4/1/1972,,,,,,,,9.8489
7/1/1972,,,,,,,,9.9362
10/1/1972,,,,,,,,10.4454
1/1/1973,,,,,,,,10.814
4/1/1973,,,,,,,,11.4789
7/1/1973,,,,,,,,11.6993
10/1/1973,,,,,,,,12.3453
1/1/1974,,,,,,,,13.0292
4/1/1974,,,,,,,,13.8044
7/1/1974,,,,,,,,14.1615
10/1/1974,,,,,,,,14.8645
1/1/1975,,,,,,,,15.1874
4/1/1975,,,,,,,,15.841
7/1/1975,,,,,,,,16.4262
10/1/1975,,,,,,,,17.2583
1/1/1976,,,,,,,,18.1094
4/1/1976,,,,,,,,20.0739
7/1/1976,,,,,,,,21.3924
10/1/1976,,,,,,,,22.9769
1/1/1977,,,,,,,,25.5987
4/1/1977,,,,,,,,29.2426
7/1/1977,,,,,,,,29.482
10/1/1977,,,,,,,,30.0329
1/1/1978,,,,,,,,30.7625
4/1/1978,,,,,,,,32.5863
7/1/1978,,,,,,,,30.2419
10/1/1978,,,,,,,,30.2799
1/1/1979,,,,,,,,29.7935
4/1/1979,,,,,,,,29.9911
7/1/1979,,,,,,,,29.2084
10/1/1979,,,,,,,,28.4218
1/1/1980,,,,,,,,28.0913
4/1/1980,,,,,,,,27.8405
7/1/1980,,,,,,,,25.9444
10/1/1980,,,,,,,,25.8532
1/1/1981,,,,,,,,25.9596
4/1/1981,,,,,,,,24.9033
7/1/1981,,,,,,,,23.733
10/1/1981,,,,,,,,22.3119
1/1/1982,,,,,,,,21.685
4/1/1982,,,,,,,,21.5558
7/1/1982,,,,,,,,21.7647
10/1/1982,,,,,,,,21.21
1/1/1983,,,,,,,,21.4798
4/1/1983,,,,,,,,22.2891
7/1/1983,,,,,,,,22.3271
10/1/1983,,,,,,,,21.6584
1/1/1984,,,,,,,,21.7951
4/1/1984,,,,,,,,21.8027
7/1/1984,,,,,,,,21.9243
10/1/1984,,,,,,,,21.6166
1/1/1985,,,,,,,,21.6318
4/1/1985,,,,,,,,22.0611
7/1/1985,,,,,,,,21.7647
10/1/1985,,,,,,,,21.8331
1/1/1986,,,,,,,,22.3879
4/1/1986,,,,,,,,22.7793
7/1/1986,,,,,,,,23.1858
10/1/1986,,,,,,,,23.0832
1/1/1987,,,,,,,,23.581
4/1/1987,,,,,,,,24.113
7/1/1987,,,,,,,,24.0142
10/1/1987,,,,,,,,24.0484
1/1/1988,,,,,,,,24.2156
4/1/1988,,,,,,,,25.1541
7/1/1988,,,,,,,,25.3935
10/1/1988,,,,,,,,25.3935
1/1/1989,,,,,,,,25.838
4/1/1989,,,,,,,,26.7462
7/1/1989,,,,,,,,27.1223
10/1/1989,,,,,,,,27.1185
1/1/1990,,,,,,,,27.0615
4/1/1990,,,,,,,,27.9431
