,gdp_total_season,imports_goods_services_season,household_cons_season,gov_consumption_season,investments_season,gpd_invest_business_households_season,gov_invest_season,change_supply_season,exports_goods_services_season,gdp_total,imports_goods_services,household_cons,gov_consumption,investments,gpd_invest_business_households,gov_invest,change_supply,exports_goods_services,BeloningSeizoengecorrigeerd_2,Loonkosten_7,BeloningVanWerknemers_8
1995-01-01,116638.0,46462.0,57096.0,28035.0,21525.0,17760.0,3683.0,-266.0,56007.0,,,,,,,,,,40327.0,38359.0,
1995-04-01,116624.0,49419.0,57519.0,29418.0,24128.0,19911.0,4164.0,-1753.0,56397.0,,,,,,,,,,41137.0,46028.0,
1995-07-01,114315.0,47036.0,58757.0,26788.0,20393.0,16585.0,3794.0,1498.0,53887.0,,,,,,,,,,41683.0,39186.0,
1995-10-01,121939.0,49888.0,57947.0,28996.0,25294.0,20081.0,5196.0,2448.0,57007.0,,,,,,,,,,42425.0,41590.0,
1996-01-01,119460.0,49057.0,60108.0,27538.0,21519.0,17884.0,3546.0,136.0,58588.0,119388.0,49327.0,59897.0,27660.0,22683.0,18307.0,4352.0,820.0,57253.0,42079.0,39949.0,4.6
1996-04-01,121240.0,50619.0,60382.0,28951.0,25557.0,20925.0,4588.0,-23.0,56613.0,120719.0,49605.0,60203.0,27837.0,24149.0,19564.0,4555.0,853.0,56936.0,42764.0,47685.0,4.0
1996-07-01,118805.0,50211.0,61318.0,26493.0,22808.0,18437.0,4357.0,1419.0,56860.0,122410.0,50984.0,60857.0,28075.0,24906.0,20299.0,4567.0,799.0,58409.0,43266.0,40482.0,3.7
1996-10-01,126417.0,53110.0,60910.0,28850.0,27631.0,21934.0,5679.0,1463.0,60465.0,123280.0,52800.0,61743.0,28262.0,26077.0,21296.0,4736.0,447.0,59372.0,43911.0,42792.0,3.3
1997-01-01,124032.0,52860.0,62506.0,28428.0,24610.0,20736.0,3757.0,-809.0,61658.0,124625.0,54295.0,62386.0,28552.0,25593.0,21100.0,4443.0,197.0,61933.0,44418.0,42212.0,6.0
1997-04-01,126411.0,57283.0,63114.0,29791.0,27420.0,22762.0,4585.0,-60.0,63098.0,125922.0,56102.0,62840.0,28685.0,26204.0,21569.0,4581.0,905.0,63156.0,45030.0,50102.0,5.3
1997-07-01,123968.0,56455.0,63866.0,27355.0,23889.0,19441.0,4430.0,2026.0,63189.0,127752.0,57170.0,63466.0,28955.0,26083.0,21382.0,4652.0,1214.0,64893.0,45652.0,42545.0,5.4
1997-10-01,132540.0,58625.0,63366.0,29823.0,27791.0,22253.0,5502.0,2828.0,67015.0,129391.0,58403.0,64332.0,29204.0,26246.0,21573.0,4620.0,1806.0,65924.0,46602.0,45168.0,5.8
1998-01-01,131237.0,58803.0,65367.0,29513.0,26969.0,22671.0,4174.0,1371.0,66448.0,131136.0,59925.0,65113.0,29664.0,27592.0,22741.0,4790.0,2432.0,66140.0,47568.0,45270.0,7.5
